condition,model,rule,total_responses,valid_responses,correct_responses,accuracy,validity_rate
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmi,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MuDistOr,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MiAg,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,NSFC,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MP,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MT,20,20,19,0.95,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,AC,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DA,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CONV,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,INV,20,20,20,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CT,17,17,0,0.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CMP,4,4,4,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmu,6,6,6,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmi,3,3,3,1.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmu,1,1,0,0.0,1.0
chain_of_logic,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MuDistOr,1,1,1,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MP,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MT,20,19,15,0.75,0.95
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,AC,20,20,10,0.5,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DA,20,20,17,0.85,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CONV,20,19,18,0.9,0.95
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,INV,20,20,15,0.75,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CT,20,20,7,0.35,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CMP,20,20,17,0.85,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmu,20,20,2,0.1,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmi,20,19,7,0.35,0.95
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmu,20,19,8,0.4,0.95
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmi,20,20,12,0.6,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MuDistOr,20,20,11,0.55,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MiAg,20,20,17,0.85,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,NSFC,20,20,12,0.6,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,WSFC,20,20,4,0.2,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MP,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MT,20,20,19,0.95,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,AC,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DA,20,20,19,0.95,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CONV,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,INV,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CT,20,20,0,0.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CMP,20,20,16,0.8,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmu,20,20,0,0.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmi,20,20,14,0.7,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmu,20,20,0,0.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmi,20,20,9,0.45,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MuDistOr,20,20,10,0.5,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MiAg,20,20,5,0.25,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,NSFC,20,20,19,0.95,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,WSFC,20,20,10,0.5,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MP,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MT,20,20,19,0.95,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,AC,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DA,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CONV,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,INV,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CT,20,20,0,0.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CMP,20,20,17,0.85,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmu,20,20,1,0.05,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmi,20,20,20,1.0,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmu,20,20,3,0.15,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmi,20,20,16,0.8,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MuDistOr,20,20,9,0.45,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MiAg,20,20,6,0.3,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,NSFC,20,20,19,0.95,1.0
chain_of_thought,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,WSFC,20,20,16,0.8,1.0
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MP,250,31,30,0.12,0.124
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MT,410,57,40,0.0975609756097561,0.13902439024390245
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,AC,380,44,9,0.02368421052631579,0.11578947368421053
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DA,420,50,23,0.05476190476190476,0.11904761904761904
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CONV,400,41,25,0.0625,0.1025
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,INV,420,38,19,0.04523809523809524,0.09047619047619047
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CT,390,35,9,0.023076923076923078,0.08974358974358974
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmu,360,55,9,0.025,0.1527777777777778
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmi,420,66,24,0.05714285714285714,0.15714285714285714
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmu,410,62,26,0.06341463414634146,0.15121951219512195
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmi,420,82,42,0.1,0.19523809523809524
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MuDistOr,340,30,6,0.01764705882352941,0.08823529411764706
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MiAg,390,46,19,0.04871794871794872,0.11794871794871795
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,NSFC,420,49,23,0.05476190476190476,0.11666666666666667
few-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,WSFC,410,30,12,0.02926829268292683,0.07317073170731707
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MP,220,175,175,0.7954545454545454,0.7954545454545454
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MT,230,176,165,0.717391304347826,0.7652173913043478
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,AC,230,178,175,0.7608695652173914,0.7739130434782608
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DA,280,229,202,0.7214285714285714,0.8178571428571428
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CONV,220,175,175,0.7954545454545454,0.7954545454545454
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,INV,220,172,172,0.7818181818181819,0.7818181818181819
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CT,260,205,7,0.026923076923076925,0.7884615384615384
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmu,220,169,0,0.0,0.7681818181818182
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmi,390,314,240,0.6153846153846154,0.8051282051282052
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmu,250,212,4,0.016,0.848
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmi,360,305,69,0.19166666666666668,0.8472222222222222
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MuDistOr,360,319,64,0.17777777777777778,0.8861111111111111
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MiAg,420,366,239,0.569047619047619,0.8714285714285714
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,NSFC,420,364,196,0.4666666666666667,0.8666666666666667
few-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,WSFC,370,306,75,0.20270270270270271,0.827027027027027
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MP,120,10,10,0.08333333333333333,0.08333333333333333
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MT,120,10,9,0.075,0.08333333333333333
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,AC,120,5,5,0.041666666666666664,0.041666666666666664
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DA,135,5,5,0.037037037037037035,0.037037037037037035
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CONV,120,14,14,0.11666666666666667,0.11666666666666667
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,INV,120,11,11,0.09166666666666666,0.09166666666666666
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CT,120,12,0,0.0,0.1
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmu,120,6,0,0.0,0.05
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmi,180,28,25,0.1388888888888889,0.15555555555555556
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmu,120,19,0,0.0,0.15833333333333333
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmi,120,11,0,0.0,0.09166666666666666
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MuDistOr,240,95,66,0.275,0.3958333333333333
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MiAg,225,97,66,0.29333333333333333,0.4311111111111111
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,NSFC,210,66,10,0.047619047619047616,0.3142857142857143
few-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,WSFC,120,11,0,0.0,0.09166666666666666
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MP,310,115,95,0.3064516129032258,0.3709677419354839
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MT,380,164,129,0.3394736842105263,0.43157894736842106
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,AC,400,176,67,0.1675,0.44
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DA,420,159,70,0.16666666666666666,0.37857142857142856
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CONV,370,219,172,0.4648648648648649,0.5918918918918918
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,INV,420,158,70,0.16666666666666666,0.3761904761904762
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CT,370,132,47,0.12702702702702703,0.3567567567567568
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,CMP,420,120,75,0.17857142857142858,0.2857142857142857
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmu,250,115,3,0.012,0.46
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,DSmi,320,142,22,0.06875,0.44375
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmu,410,235,79,0.1926829268292683,0.573170731707317
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MTmi,400,198,71,0.1775,0.495
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MuDistOr,350,171,22,0.06285714285714286,0.48857142857142855
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,MiAg,310,159,17,0.054838709677419356,0.5129032258064516
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,NSFC,230,159,159,0.691304347826087,0.691304347826087
zero-shot,meta_llama_Meta_Llama_3_1_8B_Instruct_Turbo,WSFC,270,165,156,0.5777777777777777,0.6111111111111112
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MP,220,191,191,0.8681818181818182,0.8681818181818182
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MT,220,192,182,0.8272727272727273,0.8727272727272727
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,AC,230,199,193,0.8391304347826087,0.8652173913043478
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DA,290,266,228,0.7862068965517242,0.9172413793103448
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CONV,230,191,183,0.7956521739130434,0.8304347826086956
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,INV,230,197,192,0.8347826086956521,0.8565217391304348
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CT,250,236,20,0.08,0.944
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,CMP,400,313,219,0.5475,0.7825
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmu,220,176,0,0.0,0.8
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,DSmi,280,252,233,0.8321428571428572,0.9
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmu,240,197,2,0.008333333333333333,0.8208333333333333
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MTmi,370,338,113,0.3054054054054054,0.9135135135135135
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MuDistOr,300,285,71,0.23666666666666666,0.95
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,MiAg,350,329,123,0.3514285714285714,0.94
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,NSFC,330,306,235,0.7121212121212122,0.9272727272727272
zero-shot,meta_llama_Meta_Llama_3_1_70B_Instruct_Turbo,WSFC,340,323,90,0.2647058823529412,0.95
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MP,120,17,17,0.14166666666666666,0.14166666666666666
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MT,120,24,23,0.19166666666666668,0.2
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,AC,120,25,25,0.20833333333333334,0.20833333333333334
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DA,150,53,45,0.3,0.35333333333333333
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CONV,120,23,23,0.19166666666666668,0.19166666666666668
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,INV,120,19,19,0.15833333333333333,0.15833333333333333
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CT,120,24,0,0.0,0.2
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,CMP,270,58,36,0.13333333333333333,0.21481481481481482
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmu,120,23,0,0.0,0.19166666666666668
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,DSmi,195,42,41,0.21025641025641026,0.2153846153846154
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmu,120,31,0,0.0,0.25833333333333336
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MTmi,210,70,8,0.0380952380952381,0.3333333333333333
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MuDistOr,180,47,38,0.2111111111111111,0.2611111111111111
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,MiAg,195,49,34,0.17435897435897435,0.2512820512820513
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,NSFC,150,35,23,0.15333333333333332,0.23333333333333334
zero-shot,meta_llama_Meta_Llama_3_1_405B_Instruct_Turbo,WSFC,270,99,24,0.08888888888888889,0.36666666666666664
